Hs,Hmax,Tz,Tp,Peak Direction,SST
0.711,1.16,8.198,12.94,115.07,22.15
0.796,1.36,9.054,12.148,119.07,22.15
0.8,1.12,9.088,13.625,122.07,22.1
0.797,1.21,8.932,13.021,117.07,22.1
0.781,1.19,9.128,12.961,116.07,22.1
0.789,1.14,8.797,13.69,119.07,21.95
0.827,1.21,9.21,13.098,117.07,22
0.882,1.29,9.038,13.236,115.07,22.05
0.829,1.44,8.744,12.895,122.07,22
0.86,1.27,9.103,11.888,117.07,22
0.887,1.78,8.517,12.22,120.07,22.05
0.794,1.26,8.661,13.589,117.07,22.05
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
0.728,1.27,7.121,11.271,119.07,22.45
0.845,1.52,8.218,13.097,117.07,22.55
0.772,1.28,7.774,13.109,117.07,22.6
0.775,1.44,7.729,13.227,120.07,22.6
0.808,1.34,7.892,12.961,120.07,22.65
0.822,1.29,8.191,12.659,119.07,22.65
0.763,1.15,8.411,12.839,117.07,22.65
0.8,1.27,9.088,13.024,119.07,22.55
0.889,1.42,9.162,12.715,117.07,22.55
0.826,1.31,9.122,13.663,117.07,22.5
0.89,1.56,9.186,11.834,115.07,22.5
0.881,1.51,8.968,11.977,124.07,22.55
0.957,1.47,9.533,12.731,120.07,22.5
0.947,1.63,9.175,12.214,123.07,22.5
0.969,1.92,9.725,14.812,113.07,22.5
1.007,1.58,9.903,14.109,115.07,22.5
0.939,1.44,9.499,12.055,116.07,22.45
0.898,1.4,8.961,15.137,122.07,22.45
0.944,1.6,8.911,14.637,116.07,22.55
0.897,1.53,8.761,14.884,117.07,22.55
0.952,1.64,9.083,14.081,113.07,22.55
1.1,2.1,9.498,14.876,116.07,22.55
1.004,1.48,9.271,15.308,110.07,22.5
1.061,1.63,9.514,15.001,113.07,22.45
0.958,1.96,9.57,15.44,110.07,22.45
0.95,1.3,9.324,13.843,115.07,22.45
0.97,1.69,9.696,14.914,116.07,22.45
0.943,1.48,9.273,13.738,116.07,22.35
1.006,2.12,9.506,13.046,117.07,22.3
0.971,1.43,9.707,15.543,117.07,22.35
0.955,1.33,9.919,15.963,116.07,22.35
1.046,1.77,10.252,15.868,112.07,22.35
0.911,1.4,9.59,14.915,115.07,22.3
1.097,1.79,10.485,14.725,113.07,22.25
1.016,1.89,9.563,14.598,115.07,22.2
1.117,1.85,9.517,14.848,110.07,22.15
0.98,1.56,9.94,13.632,116.07,22.15
1.059,1.47,9.71,15.445,115.07,22.15
0.912,1.58,9.183,12.224,112.07,22.2
0.969,1.46,9.854,14.806,110.07,22.25
1.089,1.81,9.661,14.602,110.07,22.35
1.178,1.77,10.105,14.072,115.07,22.55
1.172,1.87,9.359,13.362,115.07,22.65
1.011,2.06,8.738,14.597,115.07,22.75
0.988,1.51,9.16,13.988,115.07,22.9
0.971,1.78,8.156,12.819,113.07,22.75
0.97,1.68,7.713,14.495,120.07,22.8
0.953,1.42,7.594,12.126,115.07,22.8
0.99,1.78,7.361,13.072,119.07,22.85
0.983,1.61,7.553,14.275,116.07,22.8
0.963,1.65,7.299,14.687,115.07,22.75
0.985,1.89,7.624,12.086,119.07,22.7
0.91,1.36,7.111,11.427,123.07,22.6
0.902,1.51,7.137,12.852,123.07,22.65
0.936,1.52,7.636,11.487,122.07,22.65
0.917,1.78,6.909,13.865,120.07,22.6
0.887,1.33,6.9,14.348,120.07,22.6
0.883,1.52,7,13.657,120.07,22.6
0.876,1.6,7.09,11.452,115.07,22.6
0.909,1.34,7.555,10.684,129.07,22.6
0.868,1.54,6.651,12.68,127.07,22.6
0.83,1.31,6.789,12.372,122.07,22.55
0.921,1.62,7.65,11.452,120.07,22.55
0.823,1.61,6.985,13.703,122.07,22.55
0.886,1.57,7.624,11.693,120.07,22.5
0.877,1.49,7.803,11.598,119.07,22.55
0.912,1.58,8.05,11.073,119.07,22.5
0.87,1.21,7.927,10.761,124.07,22.45
0.844,1.28,7.998,10.453,124.07,22.4
0.869,1.5,8.321,9.932,126.07,22.35
0.764,1.1,8.003,11.417,124.07,22.3
0.833,1.33,7.917,11.492,124.07,22.15
0.805,1.14,8.107,10.834,122.07,22.15
0.871,1.39,8.192,11.32,120.07,22.1
0.8,1.16,7.897,10.126,122.07,22.05
0.783,1.35,7.749,10.679,127.07,22.05
0.732,1.12,7.356,11.451,122.07,22.15
0.778,1.09,7.72,13.024,122.07,22.2
0.711,1.21,7.487,11.644,116.07,22.2
0.736,1.18,7.73,11.966,120.07,22.2
0.715,1.2,7.482,10.812,120.07,22.15
0.642,1.1,7.427,10.458,122.07,22.15
0.681,1.28,6.822,10.8,129.07,22.15
0.665,1.14,7.494,11.58,122.07,22.15
0.617,0.86,7.562,10.839,122.07,22.1
0.604,0.94,7.423,9.797,122.07,22.15
0.628,1.04,7.62,12.285,116.07,22.2
0.657,1.33,7.332,12.953,113.07,22.25
0.639,0.98,7.292,11.784,122.07,22.3
0.647,1.07,7.598,9.701,117.07,22.4
0.628,1.01,7.267,9.872,115.07,22.5
0.558,1,6.715,11.426,122.07,22.6
0.602,0.85,7.124,9.387,120.07,22.6
0.592,1.1,6.972,12.096,123.07,22.6
0.573,0.94,7.045,11.374,117.07,22.7
0.616,1.18,7.161,10.735,123.07,22.7
0.516,0.74,6.526,12.163,117.07,22.9
0.523,0.76,7.026,9.879,127.07,22.8
0.527,0.8,7.074,11.297,122.07,22.8
0.6,1.04,7.167,12.775,120.07,22.95
0.572,0.94,6.786,8.548,119.07,22.8
0.596,0.96,7.009,9.366,119.07,22.75
0.562,1,6.597,10.243,120.07,22.7
0.515,1.01,6.797,10.936,122.07,22.65
0.555,0.89,7.104,10.389,113.07,22.6
0.529,0.74,6.917,9.715,126.07,22.55
0.489,0.77,6.146,9.341,124.07,22.55
0.513,0.81,6.819,9.695,127.07,22.65
0.526,0.83,7.041,9.298,119.07,22.7
0.537,1.14,6.613,9.25,124.07,22.7
0.5,0.82,6.601,10.498,129.07,22.7
0.517,0.89,6.787,9.334,123.07,22.7
0.483,0.76,6.806,10.248,117.07,22.7
0.461,0.75,6.285,12.025,115.07,22.65
0.444,0.82,6.683,10.803,112.07,22.6
0.469,0.83,6.572,8.532,119.07,22.6
0.459,0.66,6.833,12.753,122.07,22.55
0.424,0.67,6.679,11.416,122.07,22.55
0.404,0.63,6.491,10.168,122.07,22.5
0.432,0.69,6.815,8.507,120.07,22.5
0.423,0.72,6.881,11.533,120.07,22.45
0.413,0.55,6.954,10.847,117.07,22.4
0.418,0.73,7.063,10.397,124.07,22.4
0.364,0.56,6.508,10.802,117.07,22.4
0.386,0.74,6.601,10.276,116.07,22.4
0.365,0.54,6.88,11.479,119.07,22.4
0.342,0.54,6.873,12.896,120.07,22.35
0.37,0.56,6.863,11.364,88.07,22.35
0.348,0.63,6.482,13.778,108.07,22.35
0.38,0.62,7.179,15.782,119.07,22.35
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
0.305,0.54,6.038,10.85,113.07,22.75
0.315,0.51,6.588,14.269,120.07,23.05
0.299,0.52,6.21,14.769,108.07,23.35
0.316,0.47,7.177,12.028,101.07,23.05
0.321,0.47,6.994,11.977,110.07,23.05
0.294,0.48,6.196,11.747,108.07,23.25
0.307,0.57,7.054,14.764,115.07,23.2
0.313,0.53,5.714,14.803,86.07,23.15
0.418,0.69,3.465,12.015,94.07,23.2
0.527,0.85,3.36,3.43,81.07,23.05
0.547,0.9,3.459,3.958,133.07,22.9
0.642,1.17,3.584,3.949,127.07,22.85
0.66,1.11,3.678,4.322,134.07,22.75
0.668,1.15,3.931,4.7,139.07,22.7
0.71,1.19,3.945,4.926,144.07,22.7
0.707,1.07,4.091,4.708,143.07,22.95
0.65,1.08,4.091,4.606,139.07,22.95
0.662,0.98,3.992,4.966,140.07,22.85
0.649,1.12,4.073,4.384,137.07,22.8
0.6,1.09,3.942,5.175,139.07,22.75
0.558,0.84,3.972,4.931,134.07,22.75
0.562,1.04,4.126,4.95,134.07,22.75
0.564,0.87,4.157,5.092,127.07,22.75
0.516,0.8,4.126,5.322,131.07,22.75
0.513,0.86,4.102,4.497,137.07,22.75
0.52,0.8,4.164,4.599,126.07,22.75
0.503,0.86,4.115,4.439,134.07,22.75
0.483,0.79,4.24,4.748,133.07,22.75
0.484,0.8,4.202,10.967,115.07,22.75
0.467,0.72,4.177,11.463,110.07,22.75
0.468,0.81,4.357,4.687,113.07,22.7
0.454,0.72,4.375,12.129,102.07,22.7
0.428,0.71,4.361,4.421,108.07,22.7
0.44,0.73,4.598,12.066,108.07,22.7
0.443,0.75,4.59,4.389,103.07,22.7
0.459,0.9,4.595,4.83,110.07,22.7
0.45,0.95,4.676,4.121,133.07,22.65
0.448,0.78,4.732,4.183,130.07,22.65
0.466,0.92,4.736,4.499,102.07,22.6
0.478,0.7,4.753,4.963,127.07,22.65
0.479,0.89,4.877,6.454,103.07,22.65
0.505,0.84,4.558,6.538,101.07,22.65
0.521,0.84,4.631,6.348,117.07,22.75
0.502,0.79,4.652,6.164,113.07,22.75
0.508,1.15,4.634,4.821,130.07,22.75
0.512,1.01,4.722,5.631,105.07,22.8
0.503,0.87,4.568,6.104,126.07,22.85
0.485,0.77,4.93,5.755,117.07,22.9
0.461,0.84,4.534,6.335,96.07,23
0.465,0.84,4.684,11.248,94.07,23
0.509,0.89,4.566,6.574,101.07,23.1
0.487,0.71,4.597,5.057,86.07,23.15
0.471,0.78,4.436,5.197,110.07,22.95
0.521,0.93,4.082,5.331,103.07,23
0.501,0.82,4.033,9.628,112.07,23.1
0.529,0.95,4.114,5.773,103.07,23.1
0.575,0.8,4.393,5.665,98.07,23.05
0.557,0.88,4.577,5.996,106.07,23
0.579,0.98,4.386,5.823,105.07,23.1
0.573,1,4.391,5.748,119.07,22.95
0.567,1,4.466,5.753,116.07,22.95
0.598,1,4.652,5.816,105.07,22.95
0.62,1.03,4.752,5.912,101.07,22.95
0.648,1.12,4.834,5.622,106.07,22.95
0.616,0.99,4.653,5.938,115.07,22.95
0.618,0.93,4.99,8.487,78.07,22.95
0.616,1.1,4.974,8.628,96.07,23
0.622,1.03,5.079,8.31,85.07,23
0.603,0.93,4.852,8.672,84.07,23
0.606,1.06,5.074,8.468,85.07,23
0.606,1.07,5.034,8.766,72.07,23
0.569,0.96,5.116,8.884,68.07,23.05
0.59,0.92,5.405,8.231,81.07,23.05
0.553,0.84,5.005,8.289,79.07,23
0.536,0.92,5.318,8.178,74.07,23.05
0.527,1.05,5.367,8.196,72.07,23.05
0.521,0.83,5.428,8.551,81.07,23.05
0.525,0.93,5.29,8.463,84.07,23.1
0.532,0.9,5.443,8.224,82.07,23.1
0.542,0.84,6.034,8.168,82.07,23.05
0.501,0.75,5.736,8.543,82.07,23.05
0.494,0.75,5.822,8.523,81.07,23
0.492,0.83,5.649,8.906,77.07,23
0.499,0.85,6.013,8.583,81.07,22.95
0.519,0.85,5.93,7.94,78.07,22.95
0.507,0.71,6.217,8.286,86.07,23
0.486,0.79,5.711,8.231,85.07,22.95
0.5,0.83,6.035,8.227,78.07,22.95
0.466,0.78,5.845,8.336,82.07,22.9
0.478,0.81,6.099,8.175,78.07,23
0.445,0.81,5.845,8.522,85.07,23
0.459,0.74,6.322,8.191,78.07,23.05
0.443,0.77,6.222,8.006,81.07,23.05
0.45,0.7,5.997,7.855,88.07,23.15
0.442,0.65,5.978,7.965,79.07,23.2
0.443,0.72,5.891,7.588,81.07,23.25
0.483,0.83,5.951,7.702,79.07,23.3
0.483,0.8,6.203,7.841,78.07,23.3
0.474,0.71,5.818,7.927,79.07,23.4
0.485,0.88,5.78,8.033,81.07,23.45
0.524,0.79,5.833,10.818,77.07,23.55
0.519,0.81,4.78,8.103,110.07,23.55
0.514,1.25,4.331,9.418,79.07,23.55
0.544,0.99,4.355,7.349,108.07,23.4
0.562,0.97,4.414,7.284,77.07,23.4
0.552,1.03,4.011,8.92,78.07,23.3
0.544,0.96,4.082,10.276,75.07,23.2
0.56,1.09,4.244,7.586,94.07,23.2
0.526,1.08,3.963,7.317,82.07,23.15
0.586,1.03,4.198,9.328,79.07,23.15
0.554,0.92,4.214,7.894,105.07,23.15
0.53,0.93,4.399,7.804,115.07,23.1
0.529,0.9,4.424,7.714,89.07,23.1
0.531,0.94,4.695,8.26,79.07,23.05
0.508,0.96,4.867,8.216,94.07,23.05
0.51,0.86,5.034,8.005,86.07,23.05
0.502,0.91,5.088,8.109,82.07,23.05
0.52,0.89,5.706,8.114,92.07,23.05
0.508,0.93,5.683,8.153,82.07,23.05
0.487,0.79,5.75,7.884,88.07,23
0.458,0.73,5.775,8.137,92.07,23.05
0.504,0.78,6.247,8.065,98.07,23.05
0.454,0.92,6.099,8.166,92.07,23
0.463,0.83,6.435,7.953,92.07,23.05
0.446,0.86,5.961,9.823,82.07,23.1
0.455,0.81,6.345,7.658,96.07,23.15
0.443,0.66,6.244,7.571,94.07,23.1
0.454,0.78,6.85,8.448,88.07,23.05
0.487,1.07,6.844,8.463,91.07,23.1
0.458,0.73,6.616,8.863,89.07,23.1
0.483,0.83,6.629,8.914,88.07,23.05
0.471,0.83,6.8,7.841,86.07,23.1
0.5,0.91,6.806,9.221,86.07,23.15
0.48,0.95,6.772,8.94,82.07,23.1
0.49,0.79,6.704,8.451,78.07,23.15
0.536,0.88,6.722,8.9,89.07,23.15
0.476,0.8,6.37,8.958,86.07,23.1
0.526,0.87,6.682,8.89,77.07,23
0.497,0.74,5.883,8.412,86.07,23.05
0.485,0.77,6.262,8.858,86.07,23.05
0.503,0.75,6.4,8.645,86.07,23.15
0.497,0.96,5.923,8.787,85.07,23.2
0.515,0.83,6.054,8.513,85.07,23.3
0.497,0.88,5.449,8.515,85.07,23.4
0.485,0.79,5.288,8.24,88.07,23.45
0.455,0.82,5.094,7.853,92.07,23.5
0.452,0.75,5.352,8.315,86.07,23.55
0.454,0.83,5.027,8.239,79.07,23.65
0.461,0.84,4.601,7.876,92.07,23.55
0.484,0.91,4.418,7.793,86.07,23.55
0.488,0.85,4.085,8.237,84.07,23.5
0.543,1.09,3.926,8.151,91.07,23.3
0.522,1,3.828,7.531,88.07,23.3
0.52,0.99,3.745,8.842,85.07,23.3
0.525,1.07,3.908,8.181,89.07,23.35
0.526,1.02,4.007,8.146,79.07,23.35
0.526,0.87,3.972,7.985,85.07,23.35
0.533,1.2,4.039,7.832,96.07,23.35
0.537,0.87,4.073,8.925,96.07,23.35
0.514,0.94,3.905,8.64,91.07,23.4
0.519,0.94,4.135,8.506,95.07,23.4
0.538,1.1,4.339,8.242,99.07,23.4
0.527,0.84,4.295,8.146,84.07,23.45
0.547,0.97,4.765,8.577,89.07,23.45
0.51,0.89,4.84,8.921,94.07,23.45
0.52,0.82,4.846,7.853,95.07,23.55
0.518,0.91,5.105,8.544,85.07,23.65
0.496,0.84,5.272,8.246,95.07,23.7
0.496,0.81,5.419,8.433,86.07,23.65
0.43,0.68,5.342,8.197,91.07,23.7
0.445,0.79,5.588,8.585,92.07,23.65
0.484,0.75,5.925,8.84,86.07,23.6
0.454,0.73,6.208,8.944,89.07,23.6
0.472,0.77,5.962,9.191,89.07,23.65
0.438,0.68,6.564,9.337,88.07,23.65
0.454,0.76,6.108,8.174,99.07,23.65
0.447,0.83,6.054,8.845,91.07,23.65
0.47,0.75,6.205,8.527,98.07,23.65
0.46,0.81,6.153,8.478,94.07,23.65
0.438,0.78,5.881,8.448,91.07,23.65
0.443,0.88,5.781,8.578,99.07,23.65
0.463,0.99,6.145,7.928,92.07,23.65
0.457,0.79,5.853,8.68,85.07,23.65
0.449,0.77,5.678,8.888,92.07,23.65
0.473,0.76,5.908,8.806,91.07,23.65
0.443,0.73,6.065,8.833,88.07,23.65
0.492,0.72,5.86,8.949,86.07,23.65
0.438,0.79,5.503,7.547,91.07,23.65
0.441,0.8,5.75,7.919,86.07,23.7
0.468,0.7,5.418,8.53,94.07,23.7
0.468,0.98,5.554,8.558,92.07,23.8
0.459,0.7,5.271,8.8,91.07,23.8
0.455,0.74,5.309,8.622,89.07,23.85
0.475,0.91,5.084,7.999,85.07,23.9
0.494,0.87,4.806,8.828,96.07,23.95
0.453,0.89,4.115,8.052,94.07,24
0.472,0.85,4.004,7.902,78.07,24.05
0.507,1.02,3.724,9.218,91.07,24.05
0.533,0.94,3.758,8.221,82.07,24.05
0.594,0.95,3.579,8.239,92.07,24
0.617,1.21,3.466,2.995,88.07,23.95
0.632,1.1,3.656,7.547,41.07,23.95
0.646,1.1,3.585,3.08,92.07,23.95
0.654,1.24,3.571,8.174,29.07,23.95
0.682,1.09,3.568,3.559,32.07,23.9
0.688,1.2,3.529,3.201,37.07,23.9
0.698,1.35,3.526,3.536,27.07,23.85
0.706,1.08,3.513,3.638,27.07,23.85
0.653,1.2,3.549,3.545,27.07,23.85
0.639,0.99,3.635,3.311,23.07,23.85
0.611,1.18,3.65,8.543,92.07,23.85
0.596,0.96,3.93,3.472,27.07,23.85
0.582,1.01,3.893,3.203,34.07,23.8
0.587,1.04,4.124,8.14,29.07,23.8
0.547,1.08,4.116,8.268,89.07,23.85
0.581,0.96,4.39,8.784,85.07,23.85
0.544,0.87,4.493,8.435,95.07,23.8
0.569,1.01,4.569,8.507,91.07,23.8
0.546,0.87,4.601,10.078,89.07,23.8
0.537,0.89,5.021,7.858,98.07,23.8
0.554,0.78,5.472,9.356,82.07,23.8
0.556,1.09,5.099,9.407,78.07,23.8
0.568,0.87,5.269,8.896,92.07,23.8
0.559,0.85,5.189,9.466,85.07,23.75
0.606,1.01,5.366,9.585,91.07,23.75
0.577,1.02,5.159,9.327,86.07,23.75
0.614,0.93,5.334,7.286,89.07,23.75
0.685,0.98,5.373,8.601,61.07,23.7
0.618,1.16,5.378,8.942,85.07,23.75
0.629,1.06,5.525,8.502,85.07,23.7
0.626,1.06,5.285,8.555,86.07,23.7
0.647,0.96,5.241,7.055,64.07,23.65
0.665,1.22,5.334,5.959,61.07,23.65
0.661,1.1,5.293,6.126,60.07,23.65
0.642,0.93,5.361,6.537,56.07,23.65
0.572,0.91,5.31,6.771,58.07,23.7
0.672,1.18,5.471,6.734,60.07,23.7
0.64,1.02,5.295,6.628,60.07,23.75
0.633,1.08,5.206,5.64,61.07,23.75
0.618,1.02,5.44,8.757,75.07,23.9
0.656,1.06,5.483,6.547,91.07,23.9
0.608,1.1,5.235,6.168,61.07,23.85
0.578,1.04,5.175,6.419,70.07,23.9
0.597,0.99,5.452,6.165,63.07,23.95
0.569,1.04,5.181,8.872,79.07,23.95
0.594,1.1,5.287,5.636,71.07,24
0.538,0.8,5.276,6.351,65.07,24.05
0.585,0.97,5.574,6.133,88.07,24.05
0.588,1.02,5.582,9.329,72.07,24.3
0.542,0.86,5.437,8.628,72.07,24.35
0.549,0.85,5.68,9.711,89.07,24.2
0.516,0.88,5.604,7.261,96.07,24.4
0.503,0.93,5.517,5.98,71.07,24.35
0.552,0.96,5.457,9.185,71.07,24.3
0.557,0.92,5.052,5.944,98.07,24.2
0.528,0.94,5.131,9.243,71.07,24.1
0.538,0.94,4.88,5.977,98.07,24.05
0.552,0.87,4.785,7.274,65.07,24
0.55,0.97,4.81,9.115,98.07,24
0.557,1.04,4.625,6.544,101.07,24
0.579,1.07,4.495,8.947,61.07,24
0.596,1.01,4.478,8.59,98.07,23.95
0.615,1.08,4.004,8.914,98.07,23.95
0.625,1.15,4.353,8.958,92.07,23.95
0.689,1.18,4.395,8.91,92.07,23.95
0.657,1.14,4.177,8.849,98.07,23.95
0.672,1.07,4.449,8.857,89.07,23.9
0.69,1.2,4.471,8.904,88.07,23.95
0.675,1.08,4.382,8.885,94.07,23.95
0.692,1.12,4.33,8.245,88.07,23.95
0.692,1.21,4.269,4.057,85.07,23.95
0.676,1.34,4.299,3.894,94.07,23.95
0.713,1.21,4.465,4.389,70.07,23.9
0.738,1.2,4.416,4.305,75.07,23.9
0.73,1.2,4.212,5.635,88.07,23.9
0.702,1.01,4.064,4.157,89.07,23.9
0.758,1.22,4.255,4.486,81.07,23.9
0.752,1.44,4.378,5.054,77.07,23.85
0.788,1.28,4.414,4.656,77.07,23.85
0.846,1.54,4.518,4.395,71.07,23.85
0.823,1.52,4.578,4.821,71.07,23.85
0.855,1.61,4.266,5.058,78.07,23.85
0.833,1.43,4.27,4.71,79.07,23.8
0.903,1.68,4.442,4.951,75.07,23.8
0.916,1.52,4.483,4.946,71.07,23.8
0.863,1.88,4.448,5.154,75.07,23.85
0.878,1.46,4.651,5.223,75.07,23.85
0.834,1.39,4.616,5.443,78.07,23.85
0.881,1.54,4.408,4.857,77.07,23.85
0.898,1.51,4.655,5.276,71.07,23.8
0.898,1.58,4.572,5.631,74.07,23.8
0.866,1.37,4.652,5.448,78.07,23.8
0.835,1.35,4.71,5.322,78.07,23.8
0.833,1.71,4.887,5.227,78.07,23.85
0.899,1.47,4.899,5.318,75.07,24.1
0.894,1.69,4.801,6.353,78.07,24.1
0.881,1.31,4.971,5.088,71.07,23.95
0.941,1.73,5.259,6.312,67.07,24.1
1.015,1.69,5.18,6.153,71.07,24.05
1.072,1.88,5.274,5.338,65.07,24.1
1.047,1.98,5.006,5.777,68.07,24.1
1.014,1.57,5.001,5.334,67.07,24.05
0.958,1.5,5.009,6.865,71.07,24
0.926,1.52,4.951,6.499,77.07,24
0.966,1.45,4.842,5.488,81.07,24
0.94,1.68,4.82,6.139,75.07,24
1.019,1.6,5.2,6.138,70.07,23.95
1.066,1.92,5.434,7.802,75.07,23.9
0.927,1.52,5.51,8.069,64.07,23.85
1.004,2.06,5.566,7.228,82.07,23.85
0.937,1.48,6.221,7.294,71.07,23.9
0.991,1.63,5.714,7.686,67.07,23.9
0.924,1.47,5.964,7.565,72.07,23.95
1.041,1.71,6.077,7.544,64.07,23.95
0.915,1.38,5.764,7.028,72.07,23.95
0.995,1.74,5.808,7.03,70.07,23.9
0.985,1.42,5.944,7.539,70.07,23.9
0.913,1.55,5.551,8.096,89.07,23.9
0.995,1.72,5.838,7.561,72.07,23.85
1.029,1.72,5.933,8.176,72.07,23.85
1.039,1.87,5.773,7.434,68.07,23.85
1.059,1.67,5.967,8.606,70.07,23.85
1.101,1.8,5.707,7.263,68.07,23.85
1.044,1.92,5.547,7.562,71.07,23.8
1.113,1.63,5.631,7.61,68.07,23.8
1.123,1.72,5.842,7.819,70.07,23.8
1.15,1.74,5.652,6.982,71.07,23.8
1.204,1.81,5.744,7.322,74.07,23.65
1.241,2.07,5.893,7.838,67.07,23.8
1.223,1.92,5.967,8.151,70.07,23.8
1.161,1.74,5.626,7.544,65.07,23.8
1.122,1.91,5.646,7.582,72.07,23.8
1.118,1.86,5.586,7.842,75.07,23.85
1.092,1.78,5.565,6.359,72.07,23.9
1.199,1.89,5.894,8.182,81.07,23.9
1.16,2.15,5.764,8.122,75.07,23.9
1.192,2.18,5.924,7.872,71.07,23.95
1.131,2.25,5.863,8.202,70.07,24
1.195,1.83,5.955,8.114,74.07,24.1
1.176,1.83,6.239,7.566,72.07,24.2
1.069,2.01,5.556,7.583,72.07,24.2
1.103,1.97,6.009,7.329,79.07,24.25
1.067,1.69,5.79,7.858,74.07,24.35
1.052,1.62,5.725,7.763,74.07,24.45
1.025,2.13,5.775,7.59,84.07,24.4
1.002,1.61,5.527,7.29,78.07,24.4
0.966,1.54,5.272,8.049,77.07,24.3
1.004,1.8,5.557,7.112,81.07,24.35
0.903,1.62,5.408,8.226,75.07,24.4
0.954,1.5,5.792,7.622,86.07,24.2
0.923,1.6,5.934,8.145,79.07,24.25
0.874,1.46,5.701,7.48,77.07,24.35
0.899,1.56,5.829,8.526,81.07,24.35
0.961,1.8,5.939,8.166,81.07,24.25
0.921,1.61,5.766,6.854,85.07,24.25
0.884,1.82,5.588,7.842,85.07,24.2
0.785,1.32,5.748,7.673,79.07,24.2
0.941,1.66,5.961,8.105,74.07,24.15
0.977,1.72,5.807,7.608,81.07,24.15
0.982,1.7,6.162,7.602,82.07,24.15
1.039,1.75,6.37,7.895,72.07,24.15
0.924,1.68,5.96,7.564,79.07,24.15
0.994,1.49,6.34,7.911,77.07,24.15
1.092,1.87,6.748,8.105,75.07,24.15
1.001,1.7,6.403,7.878,79.07,24.1
0.978,1.84,5.721,7.695,84.07,24.1
1.073,1.74,6.237,7.028,84.07,24.1
0.983,1.66,6.068,7.929,75.07,24.05
1.063,1.87,6.276,7.851,82.07,24.05
1.017,1.96,6.215,7.857,79.07,24
1.058,1.7,6.267,7.308,82.07,24
1.105,1.72,6.397,8.665,81.07,24
1.165,1.68,6.861,7.855,77.07,24
1.085,1.7,6.397,8.151,79.07,23.95
1.272,2.32,6.612,8.148,72.07,23.95
1.263,1.87,6.627,8.504,81.07,23.95
1.175,2.23,6.168,7.834,78.07,23.9
1.204,1.91,6.319,8.42,77.07,23.9
1.199,2.3,5.944,8.202,77.07,23.95
1.281,2.04,6.425,7.89,75.07,23.95
1.251,2.18,6.127,8.04,79.07,23.95
1.309,2.17,6.306,8.414,79.07,23.95
1.311,1.95,6.644,8.143,77.07,24
1.205,1.91,6.308,8.515,75.07,24
1.2,1.73,6.019,9.307,75.07,24.05
1.227,2.13,6.294,7.594,75.07,24.05
1.219,2.13,6.003,9.294,74.07,24.05
1.175,1.81,5.681,8.809,78.07,24.1
1.252,1.92,5.301,9.097,78.07,24.15
1.288,2.09,5.223,8.872,74.07,24.15
1.376,2.05,5.246,9.706,77.07,24.15
1.325,2.54,4.813,8.1,75.07,24.15
1.512,2.76,5.265,8.092,74.07,24.1
1.534,2.63,5.271,8.823,77.07,24.05
1.494,2.22,5.079,6.159,77.07,24.05
1.61,2.67,5.089,6.923,78.07,24.05
1.597,2.45,5.029,6.577,68.07,24.05
1.586,2.78,4.948,6.94,74.07,24.05
1.464,2.63,5.08,8.573,75.07,24.05
1.608,2.59,5.215,8.852,77.07,24.05
1.656,2.75,5.316,7.556,79.07,24
1.726,3.77,5.258,9.016,79.07,24
1.628,3.01,5.43,7.545,75.07,24
1.494,2.56,5.294,7.054,81.07,24
1.497,2.55,5.16,7.588,71.07,24
1.506,2.69,5.241,8.552,64.07,24
1.421,2.18,5.218,8.143,79.07,24
1.459,2.25,5.672,8.075,81.07,24
1.383,2.5,5.609,7.035,81.07,23.95
1.395,2.59,5.94,8.111,75.07,23.95
1.281,1.99,5.824,7.782,75.07,-99.9
1.261,2.2,5.85,7.57,77.07,-99.9
1.232,2,6.095,8.556,77.07,-99.9
1.183,2.29,6.07,8.515,79.07,-99.9
1.055,1.57,6.226,8.173,75.07,-99.9
1.065,1.74,6.516,8.934,70.07,-99.9
1.131,1.73,6.545,8.195,72.07,-99.9
1.078,1.58,6.751,8.137,78.07,-99.9
1.032,1.74,6.456,9.203,78.07,-99.9
