Hs,Hmax,Tz,Tp,Peak Direction,SST
0.946,1.89,5.645,12.201,84.08,25.7
0.96,1.53,6.027,12.201,82.08,25.65
0.906,1.5,5.996,11.903,81.08,25.65
0.922,1.54,5.672,11.426,82.08,25.6
0.908,1.65,6.006,11.475,82.08,25.55
0.866,1.43,6.067,10.939,82.08,25.55
0.857,1.58,6.242,11.501,88.08,25.5
0.931,1.53,6.313,10.865,82.08,25.5
0.861,1.25,6.56,10.887,79.08,25.5
0.785,1.3,6.109,10.806,86.08,25.45
0.872,1.65,6.65,11.433,91.08,25.4
0.766,1.16,6.445,10.727,81.08,25.35
0.841,1.53,7.213,11.542,85.08,25.35
0.929,1.55,7.115,11.947,99.08,25.35
0.911,1.33,7.723,12.045,89.08,25.35
0.895,1.5,7.484,11.014,89.08,25.3
0.857,1.38,7.155,11.344,86.08,25.3
0.882,1.29,7.207,11.938,84.08,25.25
0.852,1.4,6.739,10.331,86.08,25.2
0.9,1.41,6.91,11.223,84.08,25.2
0.892,1.57,6.635,10.815,84.08,25.2
0.855,1.41,6.437,11.258,79.08,25.1
0.798,1.44,6.285,11.372,82.08,24.9
0.941,1.54,6.829,11.391,89.08,24.8
0.898,1.5,6.672,10.308,86.08,24.6
0.85,1.35,6.289,11.454,84.08,24.55
0.93,1.51,7.249,11.391,82.08,24.55
0.94,1.58,7.118,11.526,88.08,24.4
0.792,1.25,6.078,10.764,82.08,24.45
0.803,1.26,6.339,10.804,86.08,24.45
0.825,1.44,6.497,10.801,92.08,24.45
0.852,1.3,6.752,10.884,92.08,24.55
0.839,1.58,6.241,10.85,89.08,24.75
0.779,1.42,5.768,10.892,89.08,24.85
0.764,1.22,5.031,10.781,89.08,24.95
0.78,1.41,4.898,10.786,85.08,24.95
0.808,1.5,5.121,10.78,86.08,25
0.745,1.28,4.071,10.244,92.08,25.35
0.784,1.59,4.165,10.338,79.08,25.4
0.775,1.56,4.115,11.263,91.08,25.45
0.789,1.26,3.931,10.868,91.08,25.4
0.773,1.47,3.903,11.261,94.08,25.55
0.791,1.46,4.089,10.767,96.08,25.45
0.819,1.48,4.118,10.815,102.08,25.4
0.822,1.38,4.051,10.827,86.08,25.35
0.853,1.65,4.085,10.334,99.08,25.25
0.861,1.53,4.092,10.825,95.08,25.25
0.799,1.38,4.107,9.901,96.08,25.2
0.752,1.35,4.207,11.224,96.08,25.05
0.746,1.26,4.282,10.492,89.08,24.9
0.747,1.48,4.547,10.257,99.08,24.85
0.802,1.42,4.749,10.285,92.08,24.75
0.803,1.29,4.851,10.817,99.08,24.7
0.749,1.23,4.624,10.113,95.08,24.55
0.801,1.36,4.897,9.886,94.08,24.45
0.755,1.34,4.857,10.176,91.08,24.25
0.804,1.34,4.87,10.769,95.08,24.15
0.819,1.53,5.084,10.294,92.08,24.05
0.776,1.22,4.749,9.432,89.08,23.95
0.802,1.53,4.828,9.907,92.08,23.85
0.756,1.27,4.737,10.351,98.08,23.8
0.708,1.14,4.756,10.256,96.08,23.7
0.727,1.33,5.009,10.588,89.08,23.6
0.702,1.34,4.953,10.24,92.08,23.55
0.72,1.26,4.838,9.867,85.08,23.5
0.681,1.01,4.652,10.16,92.08,23.45
0.701,1.14,4.904,11.318,89.08,23.45
0.705,1.08,4.748,9.874,92.08,23.4
0.713,1.24,4.863,10.007,94.08,23.35
0.668,1.16,4.609,10.42,98.08,23.25
0.67,1.02,4.952,10.712,94.08,23.2
0.692,1.27,4.814,10.052,95.08,23.2
0.689,1.1,5.059,9.509,94.08,23.3
0.668,1.05,4.947,10.768,101.08,23.65
0.646,1.06,4.995,10.916,101.08,23.9
0.665,1.13,5.446,10.163,95.08,23.6
0.596,1.02,5.182,9.972,95.08,22.9
0.587,0.98,5.153,10.787,91.08,22.45
0.556,0.94,4.85,9.894,103.08,22.15
0.608,1.05,5.386,10.222,98.08,22.1
0.629,1.16,5.366,9.795,95.08,22.1
0.548,1.01,4.824,10.21,96.08,22.2
0.559,0.8,5.039,10.948,88.08,22.35
0.544,0.83,4.276,9.896,85.08,22.2
0.578,0.93,3.994,9.796,92.08,21.8
0.608,1.08,3.883,9.919,81.08,22
0.615,1.16,3.712,9.815,91.08,21.8
0.641,1.1,3.534,10.91,92.08,23.15
0.704,1.17,3.782,11.367,85.08,23.4
0.745,1.26,3.77,9.738,95.08,22.75
0.734,1.31,3.602,3.481,81.08,23.5
0.804,1.33,3.641,3.206,82.08,23.4
0.765,1.3,3.611,3.408,39.08,23.15
0.695,1.3,3.747,10.872,88.08,23.35
0.683,1.06,3.615,3.42,85.08,23.2
0.671,1.09,3.8,9.319,98.08,23
0.617,1.17,3.731,9.845,95.08,23.05
0.627,0.99,3.823,10.156,94.08,22.8
0.647,1.26,4.064,10.529,94.08,22.8
0.607,0.99,3.898,10.703,92.08,22.55
0.641,1.03,4.334,10.39,88.08,22.15
0.631,1.05,4.29,9.846,88.08,21.95
0.594,0.99,4.323,10.697,94.08,21.7
0.627,0.99,4.515,9.565,92.08,21.6
0.627,1.04,4.535,9.879,82.08,21.55
0.626,1.01,4.778,10.278,86.08,21.55
0.615,1.06,4.89,10.359,84.08,21.5
0.631,1.24,4.765,9.926,82.08,21.45
0.618,0.99,4.964,10.266,85.08,21.45
0.604,0.89,5.037,9.723,86.08,21.5
0.564,0.96,4.706,10.342,85.08,22.3
0.578,0.89,4.866,9.41,85.08,21.95
0.658,1.11,5.083,10.798,88.08,21.85
0.631,1.04,4.754,9.761,91.08,22.2
0.654,0.99,4.835,10.538,85.08,22.2
0.634,1.32,4.642,10.231,84.08,22.1
0.671,1.2,4.903,10.045,88.08,21.95
0.724,1.17,4.964,9.795,92.08,21.95
0.728,1.11,4.75,9.772,86.08,22.2
0.732,1.36,4.746,5.475,88.08,22.4
0.703,1.4,4.586,5.061,89.08,22.6
0.693,1.18,4.982,10.343,91.08,22.8
0.659,1.09,4.899,9.711,86.08,22.85
0.657,1.08,4.802,4.385,65.08,22.8
0.615,1.13,5.06,8.808,63.08,22.75
0.652,0.94,5.129,9.758,86.08,22.65
0.606,1.17,5.05,9.733,89.08,22.8
0.638,1,5.361,9.775,89.08,22.7
0.638,1.14,5.069,9.24,79.08,22.55
0.662,1.2,4.95,9.714,88.08,22.6
0.642,1.1,4.733,8.939,85.08,22.85
0.559,0.94,4.575,9.727,89.08,22.5
0.619,1.08,4.564,9.765,84.08,22.4
0.599,1.12,4.462,10.256,98.08,22.5
0.636,1.08,4.704,10.038,89.08,24.1
0.627,1.12,4.783,8.939,88.08,23.65
0.623,1.05,4.696,10.051,96.08,23.25
0.615,0.99,4.546,9.81,91.08,22.45
0.643,1.18,4.4,9.677,99.08,22.25
0.585,0.98,4.252,9.919,98.08,22.05
0.65,1.03,4.601,9.763,99.08,22.1
0.647,1.09,4.318,8.855,91.08,23.05
0.669,1.25,4.679,9.67,102.08,22.95
0.657,1.05,4.685,10.79,95.08,22.55
0.589,0.97,4.653,9.769,98.08,22.7
0.597,1.06,4.799,9.354,99.08,23.1
0.575,0.91,4.835,9.743,89.08,22.9
0.61,0.9,4.984,8.392,91.08,23.15
0.602,1.05,5.012,9.772,86.08,23.15
0.552,0.99,5.205,9.631,82.08,23
0.566,1.01,5.015,9.059,86.08,23.25
0.565,1.06,4.956,9.334,85.08,23.5
0.576,0.91,5.158,10.128,84.08,23.35
0.532,0.85,4.963,9.793,79.08,23.15
0.558,1.02,4.947,9.698,102.08,23
0.595,1.04,5.235,10.303,79.08,23.1
0.535,0.95,5.117,10.183,96.08,23.25
0.529,0.94,4.766,9.506,92.08,23.05
0.571,0.91,5.178,9.695,89.08,23.05
0.541,0.9,4.984,9.707,99.08,22.95
0.587,0.91,5.114,9.945,103.08,23.3
0.55,1.05,5.132,8.983,99.08,23.3
0.591,1.1,5.177,8.919,112.08,23.4
0.565,0.95,5.137,10.257,108.08,23.3
0.605,1.12,5.29,9.034,103.08,23.3
0.56,1.09,5.218,10.181,95.08,23.25
0.54,1,5.153,9.641,95.08,23.25
0.593,0.99,5.583,10.305,103.08,23.3
0.585,1.16,5.512,9.112,96.08,23.4
0.632,1.06,6.037,10.214,110.08,23.5
0.654,0.9,6.019,9.848,117.08,23.4
0.67,1.26,4.524,9.317,117.08,23.35
0.738,1.24,4.778,8.983,120.08,23.4
0.721,1.2,4.419,9.82,122.08,23.3
0.822,1.47,5.148,9.781,120.08,23.25
0.774,1.44,5.268,9.763,117.08,23.2
0.77,1.2,5.543,9.687,122.08,23.2
0.691,1.09,5.703,8.631,117.08,23.25
0.718,1.2,6.263,8.444,119.08,23.3
0.631,0.99,6.21,9.55,113.08,23.4
0.661,0.93,6.505,10.253,109.08,23.45
0.616,1.02,6.269,9.209,120.08,23.7
0.611,0.94,6.423,9.622,106.08,24.15
0.607,1,6.53,8.198,119.08,24.05
0.596,1.16,6.332,11.072,116.08,24.2
0.627,1.05,6.63,7.683,122.08,24.45
0.652,0.98,6.228,8.804,108.08,24.3
0.65,1.1,6.083,8.795,116.08,24.1
0.659,1.06,5.831,5.63,96.08,24.15
0.619,1.06,5.524,7.261,115.08,24.15
0.568,1.06,5.257,10.1,116.08,24.15
0.638,1.18,5.501,9.267,106.08,24.1
0.604,1.08,5.241,9.493,112.08,24.1
0.648,0.98,5.317,10.243,96.08,24.1
0.686,1.13,5.591,9.12,98.08,24
0.614,1.02,5.267,9.225,105.08,24
0.629,1.14,5.202,9.024,109.08,24
0.601,1.14,5.649,14.983,106.08,24
0.644,1.04,5.637,9.335,95.08,23.95
0.64,1.07,5.857,13.975,95.08,24
0.649,0.95,5.825,9.316,108.08,24.05
0.64,1.09,5.732,13.085,112.08,24.05
0.63,1.03,5.574,14.431,103.08,24
0.651,0.94,6.041,9.561,105.08,23.9
0.665,1.05,5.624,13.551,101.08,23.95
0.703,1.16,6.059,13.914,109.08,23.9
0.683,1.22,5.9,13.581,105.08,23.95
0.754,1.32,6.381,13.741,108.08,23.95
0.698,1.39,6.008,13.529,106.08,23.9
0.77,1.21,6.282,7.852,101.08,23.85
0.796,1.42,6.269,13.164,113.08,23.95
0.825,1.31,7.199,12.922,110.08,23.9
0.742,1.18,6.499,12.98,112.08,24
0.717,1.14,6.256,13.312,110.08,24
0.732,1.15,6.302,13.177,108.08,23.95
0.745,1.23,6.413,12.822,116.08,23.95
0.773,1.4,6.659,13.468,112.08,24
0.791,1.17,6.828,14.039,110.08,23.95
0.862,1.4,7.751,12.249,106.08,24
0.818,1.28,7.022,12.909,115.08,24.1
0.734,1.28,6.497,13.011,115.08,24.2
0.713,1.29,6.214,13.849,108.08,24.35
0.673,1.21,5.647,11.909,115.08,24.5
0.654,1.14,5.791,12.747,117.08,24.55
0.699,1.28,6.188,12.978,120.08,24.5
0.675,1.25,5.613,13.799,108.08,24.6
0.712,1.17,5.465,13.798,115.08,24.55
0.638,1.09,4.993,12.489,103.08,24.6
0.643,0.98,4.826,8.137,108.08,24.55
0.657,1.21,4.765,14.606,116.08,24.55
0.641,1.08,4.391,14.839,106.08,24.6
0.668,1.08,4.46,12.876,120.08,24.6
0.691,1.2,4.348,14.784,116.08,24.55
